* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* 
* Line Format
* Line Number, Biome Category, Mod:Biome, EntityType, Mod:Entity, Spawnweight, Min Group Size, Max Group Size.
27, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
28, ocean, minecraft:ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
29, ocean, minecraft:ocean, WATER_CREATURE, chaosawakens:whale, 10, 1, 2
30, ocean, minecraft:ocean, WATER_CREATURE, chaosawakens:green_fish, 10, 3, 5
31, ocean, minecraft:ocean, WATER_CREATURE, chaosawakens:rock_fish, 14, 3, 5
32, ocean, minecraft:ocean, WATER_CREATURE, chaosawakens:wood_fish, 20, 5, 8
33, ocean, minecraft:ocean, WATER_CREATURE, chaosawakens:spark_fish, 15, 4, 6
34, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 80, 4, 4
35, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 80, 4, 4
36, ocean, minecraft:ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
37, ocean, minecraft:ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
38, ocean, minecraft:ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
39, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
40, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
41, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
42, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
43, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
44, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
45, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
46, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
47, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:eel_saltwater, 10, 1, 3
48, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
49, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
50, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
51, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
52, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
53, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
54, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
55, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
56, plains, minecraft:plains, MONSTER, pandoras_creatures:arachnon, 20, 1, 1
57, plains, minecraft:plains, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
58, plains, minecraft:plains, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
59, plains, minecraft:plains, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
60, plains, minecraft:plains, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
61, plains, minecraft:plains, MONSTER, chaosawakens:wasp, 10, 1, 3
62, plains, minecraft:plains, MONSTER, mowziesmobs:grottol, 10, 1, 1
63, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
64, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
65, plains, minecraft:plains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
66, plains, minecraft:plains, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
67, plains, minecraft:plains, MONSTER, tconstruct:earth_slime, 80, 2, 4
68, plains, minecraft:plains, MONSTER, tconstruct:sky_slime, 80, 2, 4
69, plains, minecraft:plains, MONSTER, quark:stoneling, 80, 1, 1
70, plains, minecraft:plains, MONSTER, quark:toretoise, 80, 1, 1
71, plains, minecraft:plains, MONSTER, savageandravage:skeleton_villager, 10, 1, 1
72, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
73, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
74, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
75, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
76, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
77, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
78, plains, minecraft:plains, CREATURE, chaosawakens:apple_cow, 10, 4, 4
79, plains, minecraft:plains, CREATURE, chaosawakens:golden_apple_cow, 10, 3, 3
80, plains, minecraft:plains, CREATURE, chaosawakens:enchanted_golden_apple_cow, 10, 1, 1
81, plains, minecraft:plains, CREATURE, chaosawakens:carrot_pig, 10, 3, 3
82, plains, minecraft:plains, CREATURE, chaosawakens:golden_carrot_pig, 10, 2, 2
83, plains, minecraft:plains, CREATURE, chaosawakens:enchanted_golden_carrot_pig, 10, 1, 1
84, plains, minecraft:plains, CREATURE, chaosawakens:bird, 10, 1, 4
85, plains, minecraft:plains, CREATURE, chaosawakens:gazelle, 10, 1, 3
86, plains, minecraft:plains, CREATURE, chaosawakens:beaver, 14, 1, 4
87, plains, minecraft:plains, CREATURE, chaosawakens:stink_bug, 20, 3, 5
88, plains, minecraft:plains, CREATURE, chaosawakens:bird, 10, 2, 4
89, plains, minecraft:plains, CREATURE, chaosawakens:lettuce_chicken, 16, 4, 6
90, plains, minecraft:plains, CREATURE, cake_cow:cake_cow, 10, 2, 4
91, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
92, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
93, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
94, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
95, plains, minecraft:plains, CREATURE, apple_cows:golden_apple_cow, 10, 2, 3
96, plains, minecraft:plains, CREATURE, apple_cows:enchanted_golden_apple_cow, 10, 2, 2
97, plains, minecraft:plains, CREATURE, apple_cows:apple_cow, 10, 2, 4
98, plains, minecraft:plains, CREATURE, levinide:hairy_cow, 10, 2, 4
99, plains, minecraft:plains, CREATURE, duckery:duck, 10, 2, 6
100, plains, minecraft:plains, CREATURE, ars_nouveau:carbuncle, 10, 1, 1
101, plains, minecraft:plains, CREATURE, ars_nouveau:sylph, 10, 1, 1
102, plains, minecraft:plains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
103, plains, minecraft:plains, CREATURE, wyrmroost:overworld_drake, 10, 1, 3
104, plains, minecraft:plains, CREATURE, wyrmroost:roost_stalker, 10, 2, 9
105, plains, minecraft:plains, CREATURE, goblinsanddungeons:ogre, 10, 1, 1
106, plains, minecraft:plains, CREATURE, betteranimalsplus:goat, 10, 1, 4
107, plains, minecraft:plains, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
108, plains, minecraft:plains, CREATURE, betteranimalsplus:songbird, 11, 1, 4
109, plains, minecraft:plains, CREATURE, betteranimalsplus:badger, 10, 1, 2
110, plains, minecraft:plains, CREATURE, betteranimalsplus:coyote, 10, 1, 6
111, plains, minecraft:plains, CREATURE, betteranimalsplus:boar, 10, 1, 4
112, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
113, plains, minecraft:plains, AMBIENT, supplementaries:firefly, 10, 5, 9
114, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
115, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
116, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
117, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
118, plains, minecraft:plains, WATER_CREATURE, minecraft:squid, 80, 4, 4
119, plains, minecraft:plains, WATER_CREATURE, minecraft:squid, 80, 4, 4
120, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
121, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
122, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
123, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
124, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
125, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
126, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
127, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
128, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
129, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
130, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
131, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
132, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
133, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
134, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
135, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
136, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
137, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
138, desert, minecraft:desert, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
139, desert, minecraft:desert, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
140, desert, minecraft:desert, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
141, desert, minecraft:desert, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
142, desert, minecraft:desert, MONSTER, thermal:blitz, 10, 1, 3
143, desert, minecraft:desert, MONSTER, desert_upgrade:wornaxers, 20, 2, 5
144, desert, minecraft:desert, MONSTER, desert_upgrade:redongers, 20, 2, 5
145, desert, minecraft:desert, MONSTER, desert_upgrade:cowtons, 20, 2, 5
146, desert, minecraft:desert, MONSTER, mowziesmobs:grottol, 10, 1, 1
147, desert, minecraft:desert, MONSTER, levinide:sword_knight, 10, 1, 1
148, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
149, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
150, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
151, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
152, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
153, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
154, desert, minecraft:desert, MONSTER, tconstruct:earth_slime, 80, 2, 4
155, desert, minecraft:desert, MONSTER, tconstruct:sky_slime, 80, 2, 4
156, desert, minecraft:desert, MONSTER, quark:stoneling, 80, 1, 1
157, desert, minecraft:desert, MONSTER, quark:toretoise, 80, 1, 1
158, desert, minecraft:desert, MONSTER, savageandravage:skeleton_villager, 10, 1, 1
159, desert, minecraft:desert, MONSTER, betteranimalsplus:tarantula, 40, 1, 3
160, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
161, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
162, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
163, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
164, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
165, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
166, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
167, desert, minecraft:desert, CREATURE, levinide:jonky, 12, 1, 4
168, desert, minecraft:desert, CREATURE, duckery:sand_duck, 20, 2, 6
169, desert, minecraft:desert, CREATURE, cnb:lizard, 50, 1, 4
170, desert, minecraft:desert, CREATURE, ars_nouveau:drygmy, 10, 1, 1
171, desert, minecraft:desert, CREATURE, wyrmroost:lesser_desertwyrm, 11, 1, 3
172, desert, minecraft:desert, CREATURE, betteranimalsplus:coyote, 10, 1, 6
173, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
174, desert, minecraft:desert, AMBIENT, wyrmroost:lesser_desertwyrm, 11, 1, 3
175, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
176, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
177, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
178, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
179, desert, minecraft:desert, WATER_CREATURE, minecraft:squid, 80, 4, 4
180, desert, minecraft:desert, WATER_CREATURE, minecraft:squid, 80, 4, 4
181, desert, minecraft:desert, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 6
182, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
183, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine, 10, 1, 1
184, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad, 10, 1, 2
185, extreme_hills, minecraft:mountains, MONSTER, minecraft:spider, 80, 4, 4
186, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie, 80, 4, 4
187, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie_villager, 10, 1, 1
188, extreme_hills, minecraft:mountains, MONSTER, minecraft:skeleton, 80, 4, 4
189, extreme_hills, minecraft:mountains, MONSTER, minecraft:creeper, 80, 4, 4
190, extreme_hills, minecraft:mountains, MONSTER, minecraft:slime, 80, 4, 4
191, extreme_hills, minecraft:mountains, MONSTER, minecraft:enderman, 5, 1, 4
192, extreme_hills, minecraft:mountains, MONSTER, minecraft:witch, 5, 1, 1
193, extreme_hills, minecraft:mountains, MONSTER, pandoras_creatures:arachnon, 20, 1, 1
194, extreme_hills, minecraft:mountains, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
195, extreme_hills, minecraft:mountains, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
196, extreme_hills, minecraft:mountains, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
197, extreme_hills, minecraft:mountains, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
198, extreme_hills, minecraft:mountains, MONSTER, thermal:basalz, 10, 1, 3
199, extreme_hills, minecraft:mountains, MONSTER, chaosawakens:throwback_hercules_beetle, 80, 1, 3
200, extreme_hills, minecraft:mountains, MONSTER, mowziesmobs:grottol, 10, 1, 1
201, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
202, extreme_hills, minecraft:mountains, MONSTER, iceandfire:troll, 40, 1, 3
203, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
204, extreme_hills, minecraft:mountains, MONSTER, ars_nouveau:wilden_guardian, 50, 1, 1
205, extreme_hills, minecraft:mountains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
206, extreme_hills, minecraft:mountains, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
207, extreme_hills, minecraft:mountains, MONSTER, tconstruct:earth_slime, 80, 2, 4
208, extreme_hills, minecraft:mountains, MONSTER, tconstruct:sky_slime, 80, 2, 4
209, extreme_hills, minecraft:mountains, MONSTER, quark:stoneling, 80, 1, 1
210, extreme_hills, minecraft:mountains, MONSTER, quark:toretoise, 80, 1, 1
211, extreme_hills, minecraft:mountains, MONSTER, savageandravage:iceologer, 10, 1, 1
212, extreme_hills, minecraft:mountains, MONSTER, savageandravage:skeleton_villager, 10, 1, 1
213, extreme_hills, minecraft:mountains, CREATURE, minecraft:sheep, 12, 4, 4
214, extreme_hills, minecraft:mountains, CREATURE, minecraft:pig, 10, 4, 4
215, extreme_hills, minecraft:mountains, CREATURE, minecraft:chicken, 10, 4, 4
216, extreme_hills, minecraft:mountains, CREATURE, minecraft:cow, 10, 4, 4
217, extreme_hills, minecraft:mountains, CREATURE, minecraft:llama, 10, 4, 6
218, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
219, extreme_hills, minecraft:mountains, CREATURE, iceandfire:hippogryph, 10, 1, 1
220, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
221, extreme_hills, minecraft:mountains, CREATURE, duckery:log_duck, 20, 2, 6
222, extreme_hills, minecraft:mountains, CREATURE, duckery:gravel_duck, 20, 2, 6
223, extreme_hills, minecraft:mountains, CREATURE, duckery:flint_duck, 20, 2, 6
224, extreme_hills, minecraft:mountains, CREATURE, duckery:duck, 10, 2, 6
225, extreme_hills, minecraft:mountains, CREATURE, duckery:clay_duck, 20, 2, 6
226, extreme_hills, minecraft:mountains, CREATURE, ars_nouveau:carbuncle, 10, 1, 1
227, extreme_hills, minecraft:mountains, CREATURE, ars_nouveau:sylph, 10, 1, 1
228, extreme_hills, minecraft:mountains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
229, extreme_hills, minecraft:mountains, CREATURE, duckery:bone_duck, 20, 2, 6
230, extreme_hills, minecraft:mountains, CREATURE, wyrmroost:alpine, 10, 1, 4
231, extreme_hills, minecraft:mountains, CREATURE, wyrmroost:roost_stalker, 10, 2, 9
232, extreme_hills, minecraft:mountains, CREATURE, wyrmroost:royal_red, 10, 1, 1
233, extreme_hills, minecraft:mountains, CREATURE, betteranimalsplus:lammergeier, 10, 1, 2
234, extreme_hills, minecraft:mountains, CREATURE, betteranimalsplus:goat, 10, 1, 4
235, extreme_hills, minecraft:mountains, AMBIENT, minecraft:bat, 10, 8, 8
236, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
237, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
238, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
239, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
240, extreme_hills, minecraft:mountains, WATER_CREATURE, minecraft:squid, 80, 4, 4
241, extreme_hills, minecraft:mountains, WATER_CREATURE, minecraft:squid, 80, 4, 4
242, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
243, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
244, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
245, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
246, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
247, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
248, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
249, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
250, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
251, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
252, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
253, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
254, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
255, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
256, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
257, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
258, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
259, forest, minecraft:forest, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
260, forest, minecraft:forest, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
261, forest, minecraft:forest, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
262, forest, minecraft:forest, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
263, forest, minecraft:forest, MONSTER, chaosawakens:wasp, 10, 1, 3
264, forest, minecraft:forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
265, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
266, forest, minecraft:forest, MONSTER, iceandfire:troll, 40, 1, 3
267, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
268, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
269, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
270, forest, minecraft:forest, MONSTER, tconstruct:earth_slime, 80, 2, 4
271, forest, minecraft:forest, MONSTER, tconstruct:sky_slime, 80, 2, 4
272, forest, minecraft:forest, MONSTER, quark:stoneling, 80, 1, 1
273, forest, minecraft:forest, MONSTER, quark:toretoise, 80, 1, 1
274, forest, minecraft:forest, MONSTER, savageandravage:skeleton_villager, 10, 1, 1
275, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
276, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
277, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
278, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
279, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
280, forest, minecraft:forest, CREATURE, chaosawakens:beaver, 14, 1, 4
281, forest, minecraft:forest, CREATURE, chaosawakens:stink_bug, 20, 3, 5
282, forest, minecraft:forest, CREATURE, chaosawakens:bird, 10, 2, 4
283, forest, minecraft:forest, CREATURE, chaosawakens:lettuce_chicken, 16, 4, 6
284, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
285, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
286, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
287, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
288, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
289, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
290, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
291, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
292, forest, minecraft:forest, CREATURE, apple_cows:golden_apple_cow, 10, 2, 3
293, forest, minecraft:forest, CREATURE, apple_cows:enchanted_golden_apple_cow, 10, 2, 2
294, forest, minecraft:forest, CREATURE, apple_cows:apple_cow, 10, 2, 4
295, forest, minecraft:forest, CREATURE, duckery:log_duck, 20, 2, 6
296, forest, minecraft:forest, CREATURE, duckery:gravel_duck, 20, 2, 6
297, forest, minecraft:forest, CREATURE, duckery:flint_duck, 20, 2, 6
298, forest, minecraft:forest, CREATURE, duckery:duck, 10, 2, 6
299, forest, minecraft:forest, CREATURE, duckery:clay_duck, 20, 2, 6
300, forest, minecraft:forest, CREATURE, ars_nouveau:carbuncle, 10, 1, 1
301, forest, minecraft:forest, CREATURE, ars_nouveau:sylph, 10, 1, 1
302, forest, minecraft:forest, CREATURE, ars_nouveau:drygmy, 10, 1, 1
303, forest, minecraft:forest, CREATURE, duckery:bone_duck, 20, 2, 6
304, forest, minecraft:forest, CREATURE, wyrmroost:roost_stalker, 10, 2, 9
305, forest, minecraft:forest, CREATURE, goblinsanddungeons:ogre, 10, 1, 1
306, forest, minecraft:forest, CREATURE, betteranimalsplus:goat, 10, 1, 4
307, forest, minecraft:forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
308, forest, minecraft:forest, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
309, forest, minecraft:forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
310, forest, minecraft:forest, CREATURE, betteranimalsplus:badger, 10, 1, 2
311, forest, minecraft:forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
312, forest, minecraft:forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
313, forest, minecraft:forest, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
314, forest, minecraft:forest, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
315, forest, minecraft:forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
316, forest, minecraft:forest, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
317, forest, minecraft:forest, CREATURE, betteranimalsplus:boar, 10, 1, 4
318, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
319, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
320, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
321, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
322, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
323, forest, minecraft:forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
324, forest, minecraft:forest, WATER_CREATURE, minecraft:squid, 80, 4, 4
325, forest, minecraft:forest, WATER_CREATURE, minecraft:squid, 80, 4, 4
326, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
